DBN,Borough,Borough_Cnt,District,School_Num,School,Grade,Year,Category,Headcount,Lvl_1_Cnt,Lvl_1_Pct,Lvl_2_Cnt,Lvl_2_Pct,Lvl_3_Cnt,Lvl_3_Pct,Lvl_4_Cnt,Lvl_4_Pct,Lvl_Pass_Cnt,Lvl_Pass_Pct
32K562,BROOKLYN,111861,32,562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,8,2015,All Students,124,52,41.9,60,48.4,10,8.1,2,1.6,12,9.7
32K562,BROOKLYN,453000,32,562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,8,2016,All Students,92,27,29.3,53,57.6,11,12,1,1.1,12,13
32K554,BROOKLYN,115481,32,554,ALL CITY LEADERSHIP SECONDARY SCHOOL,8,2013,All Students,35,4,11.4,12,34.3,13,37.1,6,17.1,19,54.3
32K554,BROOKLYN,114815,32,554,ALL CITY LEADERSHIP SECONDARY SCHOOL,8,2014,All Students,64,7,10.9,16,25,28,43.8,13,20.3,41,64.1
32K554,BROOKLYN,111861,32,554,ALL CITY LEADERSHIP SECONDARY SCHOOL,8,2015,All Students,60,2,3.3,23,38.3,29,48.3,6,10,35,58.3
32K554,BROOKLYN,453000,32,554,ALL CITY LEADERSHIP SECONDARY SCHOOL,8,2016,All Students,59,0,0,10,16.9,22,37.3,27,45.8,49,83.1
32K384,BROOKLYN,115481,32,384,P.S. /I.S. 384 FRANCES E. CARTER,8,2013,All Students,57,24,42.1,22,38.6,11,19.3,0,0,11,19.3
32K384,BROOKLYN,114815,32,384,P.S. /I.S. 384 FRANCES E. CARTER,8,2014,All Students,50,13,26,24,48,12,24,1,2,13,26
32K384,BROOKLYN,111861,32,384,P.S. /I.S. 384 FRANCES E. CARTER,8,2015,All Students,66,17,25.8,32,48.5,14,21.2,3,4.5,17,25.8
32K384,BROOKLYN,453000,32,384,P.S. /I.S. 384 FRANCES E. CARTER,8,2016,All Students,69,17,24.6,29,42,16,23.2,7,10.1,23,33.3
32K383,BROOKLYN,115481,32,383,J.H.S. 383 PHILIPPA SCHUYLER,8,2013,All Students,243,21,8.6,94,38.7,89,36.6,39,16,128,52.7
32K383,BROOKLYN,114815,32,383,J.H.S. 383 PHILIPPA SCHUYLER,8,2014,All Students,245,20,8.2,96,39.2,94,38.4,35,14.3,129,52.7
32K383,BROOKLYN,111861,32,383,J.H.S. 383 PHILIPPA SCHUYLER,8,2015,All Students,243,11,4.5,97,39.9,104,42.8,31,12.8,135,55.6
