DBN,Borough,Borough_Cnt,District,School_Num,School,Grade,Year,Category,Headcount,Lvl_1_Cnt,Lvl_1_Pct,Lvl_2_Cnt,Lvl_2_Pct,Lvl_3_Cnt,Lvl_3_Pct,Lvl_4_Cnt,Lvl_4_Pct,Lvl_Pass_Cnt,Lvl_Pass_Pct
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,3,2013,All Students,278,16,59.3,11,40.7,0,0,0,0,0,0
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,3,2014,All Students,286,6,33.3,9,50,2,11.1,1,5.6,3,16.7
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,3,2015,All Students,280,10,58.8,4,23.5,2,11.8,1,5.9,3,17.6
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,3,2016,All Students,275,13,61.9,4,19,4,19,0,0,4,19
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,4,2013,All Students,277,12,60,6,30,1,5,1,5,2,10
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,4,2014,All Students,282,9,37.5,14,58.3,1,4.2,0,0,1,4.2
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,4,2015,All Students,281,8,47.1,7,41.2,2,11.8,0,0,2,11.8
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,4,2016,All Students,304,3,20,7,46.7,3,20,2,13.3,5,33.3
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,5,2013,All Students,274,17,70.8,6,25,1,4.2,0,0,1,4.2
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,5,2014,All Students,266,17,81,2,9.5,1,4.8,1,4.8,2,9.5
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,5,2015,All Students,275,16,66.7,6,25,2,8.3,0,0,2,8.3
01M015,MANHATTAN,808324,1,15,P.S. 015 ROBERTO CLEMENTE,5,2016,All Students,283,7,43.8,7,43.8,2,12.5,0,0,2,12.5
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,3,2013,All Students,311,8,22.2,10,27.8,10,27.8,8,22.2,18,50
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,3,2014,All Students,311,8,22.9,10,28.6,11,31.4,6,17.1,17,48.6
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,3,2015,All Students,303,6,21.4,11,39.3,9,32.1,2,7.1,11,39.3
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,3,2016,All Students,316,5,15.2,9,27.3,13,39.4,6,18.2,19,57.6
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,4,2013,All Students,289,18,42.9,11,26.2,13,31,0,0,13,31
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,4,2014,All Students,316,7,20.6,8,23.5,10,29.4,9,26.5,19,55.9
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,4,2015,All Students,322,4,12.5,6,18.8,11,34.4,11,34.4,22,68.8
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,4,2016,All Students,315,4,14.3,10,35.7,4,14.3,10,35.7,14,50
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,5,2013,All Students,304,11,30.6,16,44.4,8,22.2,1,2.8,9,25
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,5,2014,All Students,297,12,34.3,15,42.9,7,20,1,2.9,8,22.9
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,5,2015,All Students,326,3,10,12,40,8,26.7,7,23.3,15,50
01M019,MANHATTAN,808324,1,19,P.S. 019 ASHER LEVY,5,2016,All Students,317,5,15.6,12,37.5,11,34.4,4,12.5,15,46.9
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,3,2013,All Students,302,20,25.3,31,39.2,18,22.8,10,12.7,28,35.4
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,3,2014,All Students,296,36,37.1,26,26.8,22,22.7,13,13.4,35,36.1
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,3,2015,All Students,299,32,34.8,25,27.2,19,20.7,16,17.4,35,38
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,3,2016,All Students,296,24,31.6,24,31.6,17,22.4,11,14.5,28,36.8
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,4,2013,All Students,294,23,30.7,27,36,21,28,4,5.3,25,33.3
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,4,2014,All Students,300,21,32.3,19,29.2,14,21.5,11,16.9,25,38.5
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,4,2015,All Students,291,36,39.1,23,25,18,19.6,15,16.3,33,35.9
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,4,2016,All Students,293,27,38,20,28.2,11,15.5,13,18.3,24,33.8
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,5,2013,All Students,290,39,50.6,26,33.8,10,13,2,2.6,12,15.6
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,5,2014,All Students,298,29,40.8,22,31,14,19.7,6,8.5,20,28.2
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,5,2015,All Students,287,32,54.2,10,16.9,13,22,4,6.8,17,28.8
01M020,MANHATTAN,808324,1,20,P.S. 020 ANNA SILVER,5,2016,All Students,301,29,39.7,19,26,15,20.5,10,13.7,25,34.2
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,All Students,292,14,35.9,13,33.3,9,23.1,3,7.7,12,30.8
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,All Students,283,15,46.9,12,37.5,4,12.5,1,3.1,5,15.6
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,All Students,291,14,45.2,9,29,6,19.4,2,6.5,8,25.8
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,3,2016,All Students,304,8,27.6,8,27.6,9,31,4,13.8,13,44.8
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,All Students,297,16,34.8,17,37,8,17.4,5,10.9,13,28.3
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,All Students,297,13,35.1,14,37.8,8,21.6,2,5.4,10,27
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,All Students,290,9,30,15,50,4,13.3,2,6.7,6,20
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,4,2016,All Students,288,14,41.2,13,38.2,6,17.6,1,2.9,7,20.6
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,All Students,307,9,30,11,36.7,10,33.3,0,0,10,33.3
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,All Students,308,10,23.3,19,44.2,10,23.3,4,9.3,14,32.6
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,All Students,295,17,48.6,11,31.4,5,14.3,2,5.7,7,20
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,5,2016,All Students,289,14,48.3,11,37.9,3,10.3,1,3.4,4,13.8
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,All Students,303,18,31.6,18,31.6,11,19.3,10,17.5,21,36.8
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,All Students,295,12,29.3,20,48.8,7,17.1,2,4.9,9,22
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,All Students,295,19,33.9,23,41.1,11,19.6,3,5.4,14,25
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,6,2016,All Students,285,22,40.7,25,46.3,4,7.4,3,5.6,7,13
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,All Students,300,17,35.4,21,43.8,10,20.8,0,0,10,20.8
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,All Students,305,20,35.1,14,24.6,18,31.6,5,8.8,23,40.4
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,All Students,296,17,39.5,15,34.9,10,23.3,1,2.3,11,25.6
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,7,2016,All Students,297,23,41.8,21,38.2,8,14.5,3,5.5,11,20
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,All Students,304,10,22.7,23,52.3,8,18.2,3,6.8,11,25
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,All Students,294,19,35.2,23,42.6,10,18.5,2,3.7,12,22.2
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,All Students,298,21,35.6,24,40.7,9,15.3,5,8.5,14,23.7
01M034,MANHATTAN,808324,1,34,P.S. 034 FRANKLIN D. ROOSEVELT,8,2016,All Students,287,21,43.8,18,37.5,8,16.7,1,2.1,9,18.8
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,3,2013,All Students,283,8,42.1,7,36.8,3,15.8,1,5.3,4,21.1
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,3,2014,All Students,308,1,5.6,11,61.1,4,22.2,2,11.1,6,33.3
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,3,2015,All Students,285,9,52.9,5,29.4,2,11.8,1,5.9,3,17.6
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,3,2016,All Students,310,3,14.3,7,33.3,6,28.6,5,23.8,11,52.4
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,4,2013,All Students,276,10,47.6,8,38.1,3,14.3,0,0,3,14.3
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,4,2014,All Students,312,3,16.7,6,33.3,5,27.8,4,22.2,9,50
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,4,2015,All Students,315,0,0,7,53.8,4,30.8,2,15.4,6,46.2
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,4,2016,All Students,303,4,26.7,5,33.3,3,20,3,20,6,40
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,5,2013,All Students,299,9,40.9,10,45.5,1,4.5,2,9.1,3,13.6
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,5,2014,All Students,282,10,58.8,5,29.4,2,11.8,0,0,2,11.8
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,5,2015,All Students,303,6,30,7,35,6,30,1,5,7,35
01M063,MANHATTAN,808324,1,63,THE STAR ACADEMY - P.S.63,5,2016,All Students,322,0,0,7,58.3,3,25,2,16.7,5,41.7
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2013,All Students,275,20,62.5,10,31.3,2,6.3,0,0,2,6.3
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2014,All Students,298,10,23.3,23,53.5,9,20.9,1,2.3,10,23.3
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2015,All Students,302,9,22.5,18,45,8,20,5,12.5,13,32.5
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,3,2016,All Students,293,10,32.3,13,41.9,4,12.9,4,12.9,8,25.8
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2013,All Students,280,20,48.8,19,46.3,2,4.9,0,0,2,4.9
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2014,All Students,290,13,40.6,10,31.3,7,21.9,2,6.3,9,28.1
01M064,MANHATTAN,808324,1,64,P.S. 064 ROBERT SIMON,4,2015,All Students,298,10,24.4,18,43.9,9,22,4,9.8,13,31.7
